subject,predicate,object
Acoustoelectric devices,UF,Electroacoustic devices
Acoustoelectric devices,BT,Acoustic devices
Acoustoelectric devices,RT,Acoustoelectric effects
Acoustoelectric devices,RT,Piezoelectric devices
Acoustoelectric devices,RT,Pulsed electroacoustic methods
Acoustoelectric devices,RT,Surface acoustic wave devices
Acoustoelectric effects,UF,Electroacoustic effects
Acoustoelectric effects,BT,Acoustic waves
Acoustoelectric effects,BT,Electric fields
Acoustoelectric effects,RT,Acoustics
Acoustoelectric effects,RT,Acoustoelectric devices
Acoustoelectric effects,RT,Semiconductor materials
Acoustoelectric effects,NT,Pulsed electroacoustic methods
Acoustomagnetic effects,USE,Magnetoacoustic effects
Acoustooptic devices,USE,Acousto-optical devices
Acoustooptic effects,BT,Acoustics
Acoustooptic effects,RT,Acousto-optical devices
Acoustooptic effects,NT,Piezooptic effects
Acquired immune deficiency syndrome,UF,AIDS
Acquired immune deficiency syndrome,UF,Acquired immunodeficiency syndrome
Acquired immune deficiency syndrome,BT,Diseases
Acquired immune deficiency syndrome,RT,Human immunodeficiency virus
Acquired immunodeficiency syndrome,USE,Acquired immune deficiency syndrome
Action potentials,UF,Bioelectric potentials
Action potentials,BT,Physiology
Action potentials,RT,Axons
Action potentials,RT,Membrane potentials
Action potentials,RT,Neurons
Action potentials,RT,White matter
Activated sludge process,USE,Sludge treatment
Activation analysis,BT,Chemical analysis
Active appearance model,BT,Computer vision
Active circuits,BT,Circuits
Active circuits,NT,Active inductors
Active circuits,NT,Gyrators
Active circuits,NT,Operational amplifiers
Active contours,BT,Motion analysis
Active distribution networks,BT,Power distribution networks
Active disturbance rejection control,USE,Robust control
Active filters,BT,Filters
Active filters,NT,Band-pass filters
Active inductors,BT,Active circuits
Active inductors,BT,Inductors
Active inductors,RT,Gyrators
Active inductors,RT,Integrated circuits
Active inductors,RT,MOSFET circuits
Active matrix addressing,BT,Active matrix technology
Active matrix liquid crystal displays,UF,AMLCDs
Active matrix liquid crystal displays,UF,Active-matrix liquid-crystal displays
Active matrix liquid crystal displays,BT,Active matrix technology
Active matrix liquid crystal displays,BT,Liquid crystal displays
Active matrix organic LEDs,USE,Active matrix organic light emitting diodes
Active matrix organic light emitting diodes,UF,AMOLEDs
Active matrix organic light emitting diodes,UF,Active matrix organic LEDs
Active matrix organic light emitting diodes,UF,Active matrix organic light-emitting diodes
Active matrix organic light emitting diodes,BT,Active matrix technology
Active matrix organic light emitting diodes,BT,Diodes
Active matrix organic light emitting diodes,BT,Organic light emitting diodes
Active matrix organic light-emitting diodes,USE,Active matrix organic light emitting diodes
Active matrix technology,UF,Active-matrix
Active matrix technology,BT,Displays
Active matrix technology,NT,Active matrix addressing
Active matrix technology,NT,Active matrix liquid crystal displays
Active matrix technology,NT,Active matrix organic light emitting diodes
Active matrix technology,NT,Thin film transistors
Active networking,BT,Network architecture
Active noise reduction,BT,Acoustic signal processing
Active noise reduction,BT,Noise reduction
Active noise reduction,NT,Echo cancellers
Active perception,BT,Psychology
Active perception,RT,Cognition
Active perception,RT,Control systems
Active perception,RT,Sensor fusion
Active pixel sensors,BT,Image sensors
Active RFID tags,BT,RFID tags
Active shape model,BT,Image processing
Active shape model,BT,Pattern recognition
Active-matrix,USE,Active matrix technology
Active-matrix liquid-crystal displays,USE,Active matrix liquid crystal displays
Activities,USE,IEEE activities
Activity recognition,BT,Cognition
Activity recognition,BT,Pattern recognition
Activity recognition,BT,Sensor systems
Activity recognition,RT,Computer vision
Actuators,UF,Dielectric electroactive polymer actuators
Actuators,UF,Electroactive polymer actuators
Actuators,UF,Electrostrictive polymer actuators
Actuators,UF,Ionomeric polymer-metal composite actuators
Actuators,BT,Control equipment
Actuators,RT,Control systems
Actuators,RT,Servomechanisms
Actuators,RT,Servosystems
Actuators,RT,Shape memory alloys
Actuators,NT,Dielectric elastomer actuators
Actuators,NT,Electrostatic actuators
Actuators,NT,Electrothermal actuators
Actuators,NT,Hydraulic actuators
Actuators,NT,Intelligent actuators
Actuators,NT,Microactuators
Actuators,NT,Piezoelectric actuators
Actuators,NT,Pneumatic actuators
Ad hoc networks,BT,Computer networks
Ad hoc networks,RT,Cross layer design
Ad hoc networks,RT,Data communication
Ad hoc networks,RT,Land mobile radio
Ad hoc networks,RT,Mobile computing
Ad hoc networks,RT,Multicast communication
Ad hoc networks,RT,Protocols
Ad hoc networks,RT,Wireless LAN
Ad hoc networks,RT,Wireless sensor networks
Ad hoc networks,NT,AODV
Ad hoc networks,NT,Mesh networks
Ad hoc networks,NT,Mobile ad hoc networks
Ad hoc networks,NT,Vehicular ad hoc networks
Ad hoc On Demand Distance Vector,USE,AODV
Adaptation models,BT,Adaptive algorithms
Adaptive algorithms,BT,Algorithms
Adaptive algorithms,NT,Adaptation models
Adaptive antenna arrays,USE,Adaptive arrays
Adaptive arrays,UF,Adaptive antenna arrays
Adaptive arrays,BT,Antenna arrays
Adaptive arrays,RT,Adaptive signal detection
Adaptive arrays,RT,Array signal processing
Adaptive arrays,RT,Radar countermeasures
Adaptive arrays,RT,Radio communication countermeasures
Adaptive codes,USE,Adaptive coding
Adaptive coding,UF,Adaptive codes
Adaptive coding,BT,Data compression
Adaptive control,UF,Self-tuning regulators
Adaptive control,BT,Adaptive systems
Adaptive control,RT,Cognitive systems
Adaptive control,RT,Control systems
Adaptive control,RT,Disturbance observers
Adaptive control,RT,Iterative learning control
Adaptive equalisers,USE,Adaptive equalizers
Adaptive equalizers,UF,Adaptive equalisers
Adaptive equalizers,BT,Equalizers
Adaptive estimation,BT,Statistics
Adaptive filters,BT,Adaptive signal processing
Adaptive learning,BT,Education
Adaptive learning,RT,Distance learning
Adaptive learning,RT,Human computer interaction
Adaptive learning,RT,User interfaces
Adaptive mesh refinement,BT,Numerical analysis
Adaptive optics,BT,Optics
Adaptive scheduling,BT,Scheduling
Adaptive scheduling,RT,Adaptive systems
Adaptive scheduling,RT,Production control
Adaptive signal detection,BT,Adaptive signal processing
Adaptive signal detection,RT,Adaptive arrays
Adaptive signal detection,RT,Blind source separation
Adaptive signal detection,RT,Source separation
Adaptive signal processing,BT,Signal processing
Adaptive signal processing,NT,Adaptive filters
Adaptive signal processing,NT,Adaptive signal detection
Adaptive systems,BT,Cybernetics
Adaptive systems,BT,Systems engineering and theory
Adaptive systems,RT,Adaptive scheduling
Adaptive systems,RT,Learning systems
Adaptive systems,RT,Neural networks
Adaptive systems,NT,Adaptive control
Adaptive systems,NT,Cognitive radar
Adaptive systems,NT,Line enhancers
Adaptive systems,NT,Multi-agent systems
Adaptive systems,NT,Variable structure systems
ADAS,USE,Advanced driver assistance systems
Add-drop multiplexers,BT,Multiplexing equipment
Add-drop multiplexers,NT,Optical add-drop multiplexers
Added delay,BT,Delay systems
Adders,BT,Circuits
Adders,RT,Digital integrated circuits
Adders,RT,Logic circuits
Additive manufacturing,USE,Three-dimensional printing
Additive metric,USE,Maximum likelihood detection
Additive noise,BT,Noise
Additive noise,NT,AWGN
Additive noise,NT,Additive white noise
Additive white noise,BT,Additive noise
Additive white noise,RT,Gaussian noise
Additives,UF,Fuel additives
Additives,BT,Materials
Additives,RT,Production materials
Adenoviridae,USE,Adenoviruses
Adenoviruses,UF,Adenoviridae
Adenoviruses,BT,Microorganisms
Adhesive bonding,USE,Adhesives
Adhesive strength,BT,Materials testing
Adhesives,UF,Adhesive bonding
Adhesives,BT,Bonding
Adhesives,NT,Conductive adhesives
Adhesives,NT,Nonconductive adhesives
Adiabatic processes,BT,Thermodynamics
Adjacent channel interference,USE,Interchannel interference
Admission control,BT,Quality of service
Admission control,RT,Bandwidth
Admittance,UF,Electric admittance
Admittance,BT,Electric variables
Admittance,RT,Admittance measurement
Admittance,RT,Impedance
Admittance,NT,Admittance control
Admittance control,BT,Admittance
Admittance control,BT,Control systems
Admittance control,RT,Human-robot interaction
Admittance control,RT,Position control
Admittance control,RT,Torque control
Admittance measurement,BT,Electric variables measurement
Admittance measurement,RT,Admittance
Admittance measurement,RT,Impedance measurement
Adsorption,BT,Surface morphology
Adsorption,RT,Interface phenomena
Adsorption,RT,Molecular sieves
Adsorption,RT,Surfactants
Advanced driver assistance systems,UF,ADAS
Advanced driver assistance systems,BT,Traffic control
Advanced driver assistance systems,BT,Vehicle safety
Advanced driver assistance systems,RT,Automotive electronics
Advanced driver assistance systems,RT,Collision avoidance
Advanced driver assistance systems,RT,Computer vision
Advanced driver assistance systems,RT,Intelligent transportation systems
Advanced driver assistance systems,RT,Intelligent vehicles
Advanced driver assistance systems,RT,Mobile robots
Advanced driver assistance systems,RT,Object detection
Advanced driver assistance systems,RT,Steering systems
Advanced driver assistance systems,RT,Vehicle-to-everything
Advanced Research Projects Agency Network,USE,ARPANET
Advanced TV,USE,HDTV
Advanced video coding,USE,Video coding
Adversarial learning,USE,Adversarial machine learning
Adversarial machine learning,UF,Adversarial learning
Adversarial machine learning,BT,Machine learning
Advertising,BT,Marketing management
Aerial robots,USE,Autonomous aerial vehicles
Aerodynamics,BT,Dynamics
Aerodynamics,BT,Mechanical factors
Aerodynamics,RT,Aerospace control
Aerodynamics,RT,Shock waves
Aerodynamics,RT,Wind tunnels
Aerosols,BT,Electrostatic processes
Aerosols,RT,Liquids
Aerosols,RT,Particle production
Aerosols,RT,Spraying
Aerospace accidents,BT,Accidents
Aerospace accidents,RT,Aerospace safety
Aerospace accidents,RT,Space vehicles
Aerospace accidents,NT,Air accidents
Aerospace and electronic systems,RT,Auditory displays
Aerospace and electronic systems,RT,Digital signal processing
Aerospace and electronic systems,RT,Programming
Aerospace and electronic systems,RT,Systems engineering and theory
Aerospace and electronic systems,NT,Aerospace control
Aerospace and electronic systems,NT,Aerospace engineering
Aerospace and electronic systems,NT,Aerospace materials
Aerospace and electronic systems,NT,Aircraft manufacture
Aerospace and electronic systems,NT,Aircraft navigation
Aerospace and electronic systems,NT,Aircraft propulsion
Aerospace and electronic systems,NT,Command and control systems
Aerospace and electronic systems,NT,Electronic warfare
Aerospace and electronic systems,NT,Military equipment
Aerospace and electronic systems,NT,Radar
Aerospace and electronic systems,NT,Sensor systems
Aerospace and electronic systems,NT,Sonar
Aerospace and electronic systems,NT,Telemetry
Aerospace biophysics,BT,Aerospace engineering
Aerospace biophysics,BT,Biophysics
Aerospace biophysics,RT,Human factors
Aerospace components,BT,Aerospace materials
Aerospace control,UF,Aircraft control
Aerospace control,UF,Flight control
Aerospace control,BT,Aerospace and electronic systems
Aerospace control,RT,Aerodynamics
Aerospace control,RT,Aerospace simulation
Aerospace control,RT,Aircraft
Aerospace control,RT,Hardware-in-the-loop simulation
Aerospace control,RT,Hypersonic vehicles
Aerospace control,RT,Military systems
Aerospace control,RT,Missiles
Aerospace control,RT,Motion control
Aerospace control,RT,Space vehicles
Aerospace control,RT,Velocity control
Aerospace control,NT,Air traffic control
Aerospace control,NT,Attitude control
Aerospace control,NT,Ground support
Aerospace electronics,UF,Aerospace instrumentation
Aerospace electronics,UF,Aircraft electronics
Aerospace electronics,UF,Aircraft instrumentation
Aerospace electronics,UF,Avionics
Aerospace electronics,UF,Space vehicle electronics
Aerospace electronics,UF,Space vehicle instrumentation
Aerospace electronics,BT,Aerospace engineering
Aerospace electronics,RT,Aircraft
Aerospace electronics,RT,Gamma-ray telescopes
Aerospace electronics,RT,Space vehicles
Aerospace electronics,RT,Total ionizing dose
Aerospace electronics,RT,X-ray telescopes
Aerospace engineering,BT,Aerospace and electronic systems
Aerospace engineering,RT,Aerospace industry
Aerospace engineering,RT,Aerospace materials
Aerospace engineering,RT,Lightweight structures
Aerospace engineering,NT,Aerospace biophysics
Aerospace engineering,NT,Aerospace electronics
Aerospace engineering,NT,Aerospace safety
Aerospace engineering,NT,Aerospace simulation
Aerospace engineering,NT,Aerospace testing
Aerospace engineering,NT,Artificial satellites
Aerospace engineering,NT,Space technology
Aerospace ground equipment,USE,Ground support
Aerospace ground services,USE,Ground support
Aerospace industry,BT,Manufacturing industries
Aerospace industry,RT,Aerospace engineering
Aerospace industry,RT,Aerospace materials
Aerospace industry,RT,Aerospace safety
Aerospace industry,RT,Aircraft manufacture
Aerospace industry,RT,Lightweight structures
Aerospace instrumentation,USE,Aerospace electronics
Aerospace materials,UF,Aircraft materials
Aerospace materials,UF,Spacecraft materials
Aerospace materials,BT,Aerospace and electronic systems
Aerospace materials,BT,Production materials
Aerospace materials,RT,Aerospace engineering
Aerospace materials,RT,Aerospace industry
Aerospace materials,RT,Aircraft manufacture
Aerospace materials,RT,Lightweight structures
Aerospace materials,RT,Space vehicles
Aerospace materials,NT,Aerospace components
Aerospace navigation,USE,Aircraft navigation
Aerospace propulsion,BT,Propulsion
Aerospace safety,BT,Aerospace engineering
Aerospace safety,BT,Safety
Aerospace safety,RT,Aerospace accidents
Aerospace safety,RT,Aerospace industry
Aerospace safety,RT,Ion beam effects
Aerospace safety,RT,Space shuttles
Aerospace safety,RT,Space vehicles
Aerospace safety,NT,Air safety
Aerospace simulation,UF,Flight simulation
Aerospace simulation,BT,Aerospace engineering
Aerospace simulation,RT,Aerospace control
Aerospace simulation,RT,Aerospace testing
Aerospace simulation,RT,Wind tunnels
Aerospace testing,BT,Aerospace engineering
Aerospace testing,BT,Testing
Aerospace testing,RT,Aerospace simulation
Aerospace testing,NT,Wind tunnels
Affective computing,BT,Artificial intelligence
Affective computing,BT,Human computer interaction
Affective computing,RT,Behavioral sciences
Affective computing,RT,Cognitive systems
Affective computing,RT,Emotion recognition
Affective computing,RT,Human factors
Affective computing,RT,Psychology
Affective computing,RT,User experience
Affordances,BT,Object recognition
Affordances,BT,Optimization methods
Affordances,RT,Interactive systems
Affordances,RT,User interfaces
Affordances,RT,Virtual reality
Africa,BT,Continents
Afterburners,USE,Incineration
Ag,USE,Silver
Age factors,USE,Aging
Age of information,USE,Information age
Aged,USE,Aging
Ageing,USE,Aging
Agent-based modeling,BT,Computational modeling
Agent-based modeling,BT,Software agents
Agent-based modeling,RT,Multi-agent systems
Aggregates,BT,Materials
Aggregates,RT,Building materials
Agile computing,USE,Agile software development
Agile manufacturing,BT,Manufacturing systems
Agile manufacturing,RT,Computer integrated manufacturing
Agile manufacturing,RT,Flexible manufacturing systems
Agile software development,UF,Agile computing
Agile software development,BT,Software development management
Agile software development,NT,Scrum (Software development)
Aging,UF,Age factors
Aging,UF,Aged
Aging,UF,Ageing
Aging,BT,Materials science and technology
Aging,RT,Alzheimer's disease
Aging,RT,Ambient assisted living
Aging,RT,Assisted living
